"Period: 29/1/2023 0:00:00 -  6:44:42"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"-1.00"
"0:05"	"0.00"	"-1.33"
"0:10"	"0.00"	"-1.33"
"0:15"	"0.00"	"-1.33"
"0:20"	"0.00"	"-1.00"
"0:25"	"0.00"	"-1.33"
"0:30"	"0.00"	"-1.00"
"0:35"	"0.00"	"-1.33"
"0:40"	"0.00"	"-1.33"
"0:45"	"0.00"	"-1.67"
"0:50"	"0.00"	"-1.00"
"0:55"	"0.00"	"-1.33"
"1:00"	"0.00"	"-1.33"
"1:05"	"0.00"	"-1.33"
"1:10"	"0.00"	"-1.33"
"1:15"	"0.00"	"-1.33"
"1:20"	"0.00"	"-1.33"
"1:25"	"0.00"	"-1.33"
"1:30"	"0.00"	"-1.33"
"1:35"	"0.00"	"-1.67"
"1:40"	"0.00"	"-1.33"
"1:45"	"0.00"	"-1.33"
"1:50"	"0.00"	"-1.33"
"1:55"	"0.00"	"-1.00"
"2:00"	"0.00"	"-1.33"
"2:05"	"0.00"	"24.67"
"2:10"	"0.00"	"-2.33"
"2:15"	"0.00"	"-2.33"
"2:20"	"0.00"	"-1.00"
"2:25"	"0.00"	"-1.00"
"2:30"	"0.00"	"-1.00"
"2:35"	"0.00"	"-1.33"
"2:40"	"0.00"	"-1.00"
"2:45"	"0.00"	"-1.33"
"2:50"	"0.00"	"-1.67"
"2:55"	"0.00"	"-1.33"
"3:00"	"0.00"	"-1.00"
"3:05"	"0.00"	"-1.33"
"3:10"	"0.00"	"-1.00"
"3:15"	"0.00"	"-1.00"
"3:20"	"0.00"	"-1.00"
"3:25"	"0.00"	"-1.00"
"3:30"	"0.00"	"-1.00"
"3:35"	"0.00"	"-1.00"
"3:40"	"0.00"	"-1.00"
"3:45"	"0.00"	"-0.33"
"3:50"	"0.00"	"-1.00"
"3:55"	"0.00"	"-1.00"
"4:00"	"0.00"	"-1.33"
"4:05"	"0.00"	"-1.33"
"4:10"	"0.00"	"-1.67"
"4:15"	"0.00"	"-2.00"
"4:20"	"0.00"	"-1.33"
"4:25"	"0.00"	"-1.67"
"4:30"	"0.00"	"-2.00"
"4:35"	"0.00"	"-1.67"
"4:40"	"0.00"	"-1.00"
"4:45"	"0.00"	"-1.00"
"4:50"	"0.00"	"-1.67"
"4:55"	"0.00"	"-1.67"
"5:00"	"0.00"	"-1.67"
"5:05"	"0.00"	"-1.00"
"5:10"	"0.00"	"-1.67"
"5:15"	"0.00"	"-1.33"
"5:20"	"0.00"	"-1.67"
"5:25"	"0.00"	"-1.33"
"5:30"	"0.00"	"-1.67"
"5:35"	"0.00"	"-1.33"
"5:40"	"0.00"	"-1.67"
"5:45"	"0.00"	"-1.67"
"5:50"	"0.00"	"-1.33"
"5:55"	"0.00"	"-1.67"
"6:00"	"0.00"	"-1.33"
"6:05"	"0.00"	"-1.67"
"6:10"	"0.00"	"-2.00"
"6:15"	"0.00"	"-1.00"
"6:20"	"0.00"	"-1.67"
"6:25"	"0.00"	"-1.67"
"6:30"	"0.00"	"-1.67"
"6:35"	"0.00"	"-1.67"
"6:40"	"0.00"	"-1.33"
"6:45"	"0.00"	"-1.67"
"6:50"	"0.00"	"-1.33"
"6:55"	"0.00"	"-1.67"
"7:00"	"0.00"	"-1.67"
"7:05"	"0.00"	"-1.33"
"7:10"	"0.00"	"-1.00"
"7:15"	"0.00"	"-1.67"
"7:20"	"0.00"	"-1.00"
"7:25"	"0.00"	"-1.33"
"7:30"	"0.00"	"-1.67"
"7:35"	"0.00"	"-1.33"
"7:40"	"0.00"	"-1.00"
