"Period: 22/12/2022 0:00:00 -  7:13:17"

"Date"	"Power [kW]"	"Irradiance [W/m²]"
"0:00"	"0.00"	"1128.67"
"0:05"	"0.00"	"1128.33"
"0:10"	"0.00"	"1128.33"
"0:15"	"0.00"	"1128.00"
"0:20"	"0.00"	"1128.00"
"0:25"	"0.00"	"1128.33"
"0:30"	"0.00"	"1128.00"
"0:35"	"0.00"	"1128.00"
"0:40"	"0.00"	"1128.00"
"0:45"	"0.00"	"1128.33"
"0:50"	"0.00"	"1128.33"
"0:55"	"0.00"	"1128.33"
"1:00"	"0.00"	"1128.00"
"1:05"	"0.00"	"1128.00"
"1:10"	"0.00"	"1128.33"
"1:15"	"0.00"	"1128.33"
"1:20"	"0.00"	"1128.67"
"1:25"	"0.00"	"1128.33"
"1:30"	"0.00"	"1128.33"
"1:35"	"0.00"	"1128.33"
"1:40"	"0.00"	"1128.33"
"1:45"	"0.00"	"1128.33"
"1:50"	"0.00"	"1128.33"
"1:55"	"0.00"	"1128.33"
"2:00"	"0.00"	"1128.33"
"2:05"	"0.00"	"1125.00"
"2:10"	"0.00"	"1127.33"
"2:15"	"0.00"	"1125.67"
"2:20"	"0.00"	"1128.33"
"2:25"	"0.00"	"1128.00"
"2:30"	"0.00"	"1128.33"
"2:35"	"0.00"	"1128.00"
"2:40"	"0.00"	"1128.00"
"2:45"	"0.00"	"1128.33"
"2:50"	"0.00"	"1128.00"
"2:55"	"0.00"	"1128.33"
"3:00"	"0.00"	"1128.00"
"3:05"	"0.00"	"1128.00"
"3:10"	"0.00"	"1128.00"
"3:15"	"0.00"	"1128.33"
"3:20"	"0.00"	"1128.33"
"3:25"	"0.00"	"1128.33"
"3:30"	"0.00"	"1128.00"
"3:35"	"0.00"	"1128.33"
"3:40"	"0.00"	"1128.00"
"3:45"	"0.00"	"1128.00"
"3:50"	"0.00"	"1128.00"
"3:55"	"0.00"	"1128.00"
"4:00"	"0.00"	"1128.00"
"4:05"	"0.00"	"1128.00"
"4:10"	"0.00"	"1128.00"
"4:15"	"0.00"	"1128.00"
"4:20"	"0.00"	"1128.00"
"4:25"	"0.00"	"1128.00"
"4:30"	"0.00"	"1128.00"
"4:35"	"0.00"	"1128.33"
"4:40"	"0.00"	"1128.00"
"4:45"	"0.00"	"1128.33"
"4:50"	"0.00"	"1128.33"
"4:55"	"0.00"	"1128.33"
"5:00"	"0.00"	"1128.00"
"5:05"	"0.00"	"1128.00"
"5:10"	"0.00"	"1128.33"
"5:15"	"0.00"	"1128.33"
"5:20"	"0.00"	"1128.33"
"5:25"	"0.00"	"1128.00"
"5:30"	"0.00"	"1128.33"
"5:35"	"0.00"	"1128.33"
"5:40"	"0.00"	"1128.33"
"5:45"	"0.00"	"1128.00"
"5:50"	"0.00"	"1128.00"
